lat,lon,elevation_m,slope_degrees
15.75,79.15,369.0,0.8507929641127009
15.75,79.2714,146.0,0.2809315917249821
15.75,79.3929,147.0,0.043363292293112914
15.75,79.5143,118.0,0.1441237744665763
15.75,79.6357,92.0,0.2205814955224691
15.75,79.7571,71.0,0.1520475258209325
15.75,79.8786,38.0,0.09746284395013108
15.75,80.0,34.0,0.05922571090224997
15.75,80.1214,18.0,0.06073958422943956
15.75,80.2429,3.0,0.042702508632807626
15.75,80.3643,0.0,0.019699267798009262
15.75,80.4857,0.0,0.0058480046934079755
15.75,80.6071,0.0,0.0
15.75,80.7286,0.0,0.008491030788143627
15.75,80.85,3.0,0.018973836649366044
15.8286,79.15,252.0,0.4539364701772053
15.8286,79.2714,149.0,0.20843507209641743
15.8286,79.3929,143.0,0.0643944615414292
15.8286,79.5143,133.0,0.12530316408811787
15.8286,79.6357,197.0,0.4039722646670965
15.8286,79.7571,76.0,0.14786312398552778
15.8286,79.8786,63.0,0.08299476081742913
15.8286,80.0,44.0,0.0660750203971972
15.8286,80.1214,24.0,0.07158806615630524
15.8286,80.2429,9.0,0.03902322338326707
15.8286,80.3643,8.0,0.023373434513342835
15.8286,80.4857,0.0,0.013706438579753556
15.8286,80.6071,0.0,0.009771514477543198
15.8286,80.7286,0.0,0.015533831572600527
15.8286,80.85,8.0,0.024693936612325895
15.9071,79.15,204.0,0.5898385219839708
15.9071,79.2714,157.0,0.3254169250127193
15.9071,79.3929,121.0,0.14633807708801422
15.9071,79.5143,176.0,0.24244602945014188
15.9071,79.6357,119.0,0.18546412236842552
15.9071,79.7571,90.0,0.13657539226585186
15.9071,79.8786,45.0,0.10740274525960851
15.9071,80.0,65.0,0.07951283126466724
15.9071,80.1214,35.0,0.07924967844678868
15.9071,80.2429,12.0,0.040189523599674794
15.9071,80.3643,3.0,0.022955218184512276
15.9071,80.4857,8.0,0.02082822767379914
15.9071,80.6071,3.0,0.014993385013425849
15.9071,80.7286,8.0,0.018635240506024896
15.9071,80.85,4.0,0.015780889831453253
15.9857,79.15,543.0,1.5372268877382782
15.9857,79.2714,202.0,0.3825291489638586
15.9857,79.3929,135.0,0.16562961638504925
15.9857,79.5143,96.0,0.1588693400499136
15.9857,79.6357,96.0,0.08889054300500521
15.9857,79.7571,78.0,0.07717430675460506
15.9857,79.8786,67.0,0.061745019741196484
15.9857,80.0,65.0,0.06206483390058884
15.9857,80.1214,34.0,0.0843613442384337
15.9857,80.2429,12.0,0.05432670709090739
15.9857,80.3643,6.0,0.022750840534444733
15.9857,80.4857,4.0,0.011784688534787306
15.9857,80.6071,6.0,0.006300834611134406
15.9857,80.7286,6.0,0.005198285282717587
15.9857,80.85,6.0,0.0061237322103091085
16.0643,79.15,342.0,0.7802267617210447
16.0643,79.2714,205.0,0.5114972317128623
16.0643,79.3929,166.0,0.21114784718637947
16.0643,79.5143,114.0,0.17022273812181693
16.0643,79.6357,103.0,0.15878371182649675
16.0643,79.7571,81.0,0.12342267114592735
16.0643,79.8786,86.0,0.06747155170263616
16.0643,80.0,60.0,0.06700933199959952
16.0643,80.1214,49.0,0.08356388164800965
16.0643,80.2429,21.0,0.056902903027611085
16.0643,80.3643,12.0,0.027721054847781763
16.0643,80.4857,5.0,0.014089212271478904
16.0643,80.6071,6.0,0.005026175436964369
16.0643,80.7286,5.0,0.006852791850482204
16.0643,80.85,7.0,0.007735181267029599
16.1429,79.15,535.0,1.2995848713775175
16.1429,79.2714,286.0,0.4113166061531896
16.1429,79.3929,187.0,0.2857242802921137
16.1429,79.5143,133.0,0.2628601494432449
16.1429,79.6357,232.0,0.4548576056001983
16.1429,79.7571,105.0,0.17236669367821794
16.1429,79.8786,90.0,0.09964006385843686
16.1429,80.0,65.0,0.1291438015769314
16.1429,80.1214,39.0,0.12377638985709913
16.1429,80.2429,27.0,0.09306633541078796
16.1429,80.3643,14.0,0.05610657466169743
16.1429,80.4857,8.0,0.023858996458802226
16.1429,80.6071,8.0,0.013968503223013889
16.1429,80.7286,7.0,0.011334340193107514
16.1429,80.85,4.0,0.01957076590946128
16.2214,79.15,205.0,0.7676878850365421
16.2214,79.2714,326.0,0.4325856450112884
16.2214,79.3929,280.0,0.4590242648789278
16.2214,79.5143,181.0,0.4568739303389612
16.2214,79.6357,193.0,0.2636956783224326
16.2214,79.7571,131.0,0.2349919566180381
16.2214,79.8786,112.0,0.13034605125419044
16.2214,80.0,133.0,0.23493321716445562
16.2214,80.1214,59.0,0.11058005346639524
16.2214,80.2429,77.0,0.16059793722044982
16.2214,80.3643,23.0,0.08804985435663958
16.2214,80.4857,15.0,0.035848881948206915
16.2214,80.6071,14.0,0.02183530752956825
16.2214,80.7286,10.0,0.013261258821118312
16.2214,80.85,10.0,0.010797559568891876
16.3,79.15,329.0,0.45978664930827484
16.3,79.2714,214.0,0.3378336383991969
16.3,79.3929,447.0,0.8697076112541569
16.3,79.5143,424.0,0.868050400150038
16.3,79.6357,202.0,0.3598347403557779
16.3,79.7571,215.0,0.4117387943684199
16.3,79.8786,125.0,0.32622680063284776
16.3,80.0,95.0,0.16404571481767055
16.3,80.1214,69.0,0.0875501233124512
16.3,80.2429,56.0,0.055685906574992464
16.3,80.3643,49.0,0.08454778635922597
16.3,80.4857,20.0,0.043059530692448125
16.3,80.6071,19.0,0.022857242569480518
16.3,80.7286,11.0,0.017293873691748812
16.3,80.85,10.0,0.005855037511248015
16.3786,79.15,241.0,0.4497649935221443
16.3786,79.2714,222.0,0.36861940109574365
16.3786,79.3929,212.0,0.42214183779148573
16.3786,79.5143,186.0,0.44289766880169906
16.3786,79.6357,270.0,0.5262983044314881
16.3786,79.7571,459.0,1.281536385951886
16.3786,79.8786,224.0,0.5544361132448957
16.3786,80.0,105.0,0.36180541737438854
16.3786,80.1214,72.0,0.19609279060382157
16.3786,80.2429,56.0,0.0383117850823959
16.3786,80.3643,48.0,0.057664863599234076
16.3786,80.4857,25.0,0.043257803505746796
16.3786,80.6071,23.0,0.019225745573535773
16.3786,80.7286,15.0,0.021244832600803468
16.3786,80.85,9.0,0.021230171354580645
16.4571,79.15,428.0,0.9762406524572963
16.4571,79.2714,313.0,0.4968950201316503
16.4571,79.3929,167.0,0.2531856913410322
16.4571,79.5143,149.0,0.18417244963728044
16.4571,79.6357,139.0,0.3223022994897473
16.4571,79.7571,136.0,0.42484590193863614
16.4571,79.8786,96.0,0.47055206519842685
16.4571,80.0,376.0,1.257784595416439
16.4571,80.1214,66.0,0.23886268621785028
16.4571,80.2429,62.0,0.06732856122240095
16.4571,80.3643,42.0,0.06276019368059485
16.4571,80.4857,22.0,0.03412538241998696
16.4571,80.6071,22.0,0.044436884056584185
16.4571,80.7286,18.0,0.07492942394316507
16.4571,80.85,14.0,0.0625425198816443
16.5357,79.15,160.0,0.661529651090699
16.5357,79.2714,254.0,0.38164630129709
16.5357,79.3929,137.0,0.2894641788743019
16.5357,79.5143,107.0,0.12597035652415076
